name,text
Cori Lynn Echols,i love the ones who are in my life and make it amazing. i also love the ones who left my life and made it fantastic.
sofia rashid,I would like to see what members of the Bar Council would do if people kick them  smash their cars windscreen and overturn them.
J   Z (forever'his),She jus care of ha self ..
Ciara Murtey ,RT @_Brickks: I hate when i give my all and get nothing in return.
Breasia Sams,Uhhhh that was just dumb to say.
tj murphy,Its to bad i dont speak the language -.-
Messican Model : ),about to put some throwbacks on here  lol
Haley Tolitsky,dance central with the team;p #lmfao!
doni'June8th!,Wen strangers try to hit yo blunt &lt;&lt;  Hell no wtf u come from pass that shit right on to me.
austin johnson,Aint nothin to it gangster rap made me do it
Run Into The Light,Sometimes you have to be your own hero
Jika,Chilli with corn on the cob
Danielle Wagner,Holy wind.
austin johnson,Aint nothin to it gangster rap made me do it
Loreal, no Paris ,You what  0-0 but you bout that life right?
Slick_Pulla,Basketball season need to hurry up and get here !
Pink_Cash,How many licks do it take to the center of your ()
Jocelyn Marie ,hate whens there nothing to watch on t.v
Barbara Martins,SO much drama lately  y'all need to hit that IDGAF button and actually MEAN IT.
Cheryl Pohlert,Time to play some Call of Duty :)
Dom B,Can't live with Em and u can't live without Em #women
Maci  McDaniel,How to Drop 20 lbs. of Fat in 30 Days http://t.co/C7viT5OX
Pink_Cash,How many licks do it take to the center of your ()
Jocelyn Marie ,hate whens there nothing to watch on t.v
Mani .,When does the new season of the boondocks start ?
heuring,As fancy as this place was  it felt cold to her.
Laura Cameron,now the word follow sounds fuuuuuuunnnnnyyy
Mani .,When does the new season of the boondocks start ?
Dee Jay,NIggas being thirsty for RTs &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;
Mikey $mith,I have to do something tonight whats up somebody tell me something
Sara Stevens,Emoji's are so fun to play with!
A$AP Trinity .,all of the jaquan`s swear they got hoes ..
Pink_Cash,How many licks do it take to the center of your ()
Jocelyn Marie ,hate whens there nothing to watch on t.v
Da Envied Bitch,Welp bout to finish chilling until my black ass babyfather show up
Antonio Gooden,The things people say and do&lt;&lt;&lt;&lt;
Sara Stevens,Emoji's are so fun to play with!
A$AP Trinity .,all of the jaquan`s swear they got hoes ..
Breanna Buck,just promise me you won't fall in love with me .
Mani .,When does the new season of the boondocks start ?
heuring,As fancy as this place was  it felt cold to her.
Antonio Gooden,The things people say and do&lt;&lt;&lt;&lt;
Mikey $mith,I have to do something tonight whats up somebody tell me something
Sara Stevens,Emoji's are so fun to play with!
A$AP Trinity .,all of the jaquan`s swear they got hoes ..
Pink_Cash,How many licks do it take to the center of your ()
Jocelyn Marie ,hate whens there nothing to watch on t.v
Taylor Roberts,requested Moments by One Direction on Default Name
BriCrowe ,Ray Charles to the bullshit.
Norris scott,When you really care about someone  their mistakes never change our feelings because the mind gets angry but the heart that still cares
Courtney Girt,How do you start the game so well and then go completely cold!? Wahhhh.
Breanna Buck,just promise me you won't fall in love with me .
Mani .,When does the new season of the boondocks start ?
heuring,As fancy as this place was  it felt cold to her.
Harriet Montague,I must have been less that nothing to you
Candace D. Ellis,I be doing the same thing!! haha
Kat's Meoww,Is there anything better than observing the play and laughter of children?
Chelsea Bailey,I don't understand people who just plain don't want to be happy
Faiz Ilyas,Do you know what "nemesis" means? A righteous infliction of retribution manifested by an appropriate agent. Personified in this case by ME!
Leif Cedar,I walked by the Alamo today. They get mad if you ask to rent a car. Other than that it wasn't that memorable.
KylieJo Kleinendorst,Just went for a much needed run. #ClearedMyMind
Jordan Montalvan,1 pitch was the difference between a win and a loss if we got that strike out we would have won
Julia Moretz,One day I'm gonna yell too much about a coupon and the item and get the cops called #crazy
Nicklaus Smith,I hate Tyler hansbrough
Gee Grant ,these grapes though
Essence,Follow me on instagram  I dont have no type of followers lol @imjustessence
Sarah ,I'm in a funk. Not the good kind either.
Joseph Mosby,In which Ronald Reagan tells a seventh grader to clean his room: http://t.co/FV88kOH7
Sophia Salim,Keep my long hair or change into a bob?
Karen Gonzalez,I don't need your money  I have mine. But share some of that ambition I love a man with some of that
Steven Spears,Is this heaven? No  its Iowa
Anglica Daz Basabe,#IfIonlyCould go to Munich and watch the Champions League final at the Allianz Arena!
Shay Horne,So ready for this Chinese food.
Paulo Vitor Alves,woww!! the big surprise   just 1 days your followers can reach 3000 up  visit here http://t.co/z9enUkA5 and discover the secret.
May 14th,You not about that life ..
Anglica Daz Basabe,#IfIonlyCould go to Munich and watch the Champions League final at the Allianz Arena!
Shay Horne,So ready for this Chinese food.
Julia Moretz,One day I'm gonna yell too much about a coupon and the item and get the cops called #crazy
Alakea Kiani,Im ME no matter what. And I thank God for giving me the courage to do so.
Tits Hemingway-Janay,That was about the tweet I rt'd lmao @Razinbran_
Promise A'sure ,people got this "swagg" stuff confused
Hugh Ngo,I'm too excited! I received the IB chords!
Carlos Gambino,We keep running after the people who least care about us. Why don't we just stop  and see who's running behind us.
Lola Loveman,Can I wear yoga pants to DC tmrw??
aLL SmileS =D,I wish my b-day was on the last day of skool........
Morena Mares Altorf,I'm so happy that I still had a little bit of money to buy If I Die Tomorrow 
Brock Etters,I can't focus at all for some reason
Taylor Stroble#19,I hate when people tell me to either chill or calm down
cornforth,For the first time  Kahlan wasn't afraid of the witch woman.
indiaa*,everybody has that 1 ex they regret &lt;&lt;&lt;
Lola Loveman,Can I wear yoga pants to DC tmrw??
_CELESTEMACAELA_,Y must I be the first
Harper Johnson,"A man can't be too careful in the choice of his enemies
Huey ,That's real dumb smh
Khayla Leabough,#oomf is mean to me
Koro Montana ,There are some guys that will tell me they are different and I will believe them 100%
Lola Loveman,Can I wear yoga pants to DC tmrw??
1360 KSCJ,X's take on Sioux Falls to open up their 20th season of baseball at the top of the hour. Listen live 1360 KSCJ and http://t.co/4ISUk3rR
hyfr.,fuuuh you talk shit about the girls that backed you up. (x
Little Abner ,Kratch really put me in the penalty box today -___- #GymHockey
*_LaLa_Licious_*,This shxt is a job in itself.!
JAHTrippy,They come  They go .
kitanik,Without comment he pulled a knife  pried a three-inch yellowish tooth from the mace where it was wedged between two of the blades  and...
JAHTrippy,They come  They go .
kitanik,Without comment he pulled a knife  pried a three-inch yellowish tooth from the mace where it was wedged between two of the blades  and...
Mehul Assel,...shoulder was empty  the short sword missing.
| TAYlOR |,im bullshiting w. this application though .
Whooooooooop^___^,cause when im angry. I do and say very angry things
Harsh V Singh,Ugh  Phil almost got out of that inning.
Caitlin Knierim ,Going to CiCis for the first time
; ,I'm always in the grade 9 &amp; 10's business .  Aha oh well
gomzales,Any obstacle they encountered had to be crossed  they couldn't go around; the boundary walls dictated where they went.
Chuck Tarver,I love trinity for that :)
Trap Talk ,Who dat on the pole ?
Tevo,390$ aint that bad!!!
Laura Schmitt,Refreshing little dip in the pool with @pedrovillela19 :)
Rasha Steward ,"I don't want to brag but ill be the best you ever had."
dede macedo,s quero ver hein @_Ijustwantyou
Claudiakins,i kind of just wanna punch you in the face
S. Nichole ,I hope they share with me lol
Kristine Arechiga,I'm tired but need to finish hw.
Timothy's Wife.!,#Np Chris Brown ; Wet The Bed
The Side Chick Life,#NeverShouldYouEver not be open to new experiences. Step out of your comfort zone.
Noriko,power of music tourDVD()Amazon
wolverton,We cannot afford some of your.
ali kokjohn,I dont wanna pack  I dont wanna leave  and I sure as hell dont wanna clean. #procrastination
HoneyFactor,Should I buy Natural or Organic products only.  Deternine the true distinction  if any  between the two before buying
Liz Castro,When the going gets tough  the tough get going.
Blake Wheeler,Birthday tomorrow and no school #18
wayne,I got 160 220 points while escaping from demon monkeys in Temple Run. Beat that! http://t.co/55Cb9NsU
Mary Moore,Frozen food in Italy to 2013: IntroductionThis databook provides key data and information on the frozen food mar... http://t.co/2xGldpdo
Calista  YooChun ,I'm late already. But seeing the amt of people at je  gg. Bye attendance.
Dekkers Minura,If someone walks out of your life  it gives someone you need a chance to walk in.
Lola Loveman,Can I wear yoga pants to DC tmrw??
Liz Castro,When the going gets tough  the tough get going.
Blake Wheeler,Birthday tomorrow and no school #18
wayne,I got 160 220 points while escaping from demon monkeys in Temple Run. Beat that! http://t.co/55Cb9NsU
Mary Moore,Frozen food in Italy to 2013: IntroductionThis databook provides key data and information on the frozen food mar... http://t.co/2xGldpdo
Calista  YooChun ,I'm late already. But seeing the amt of people at je  gg. Bye attendance.
Dekkers Minura,If someone walks out of your life  it gives someone you need a chance to walk in.
Lola Loveman,Can I wear yoga pants to DC tmrw??
Liz Castro,When the going gets tough  the tough get going.
Blake Wheeler,Birthday tomorrow and no school #18
wayne,I got 160 220 points while escaping from demon monkeys in Temple Run. Beat that! http://t.co/55Cb9NsU
Mary Moore,Frozen food in Italy to 2013: IntroductionThis databook provides key data and information on the frozen food mar... http://t.co/2xGldpdo
Calista  YooChun ,I'm late already. But seeing the amt of people at je  gg. Bye attendance.
HoneyFactor,Should I buy Natural or Organic products only.  Deternine the true distinction  if any  between the two before buying
Marissa Nitti ,thats a double standard ..
Joel Jachimowicz,#Rugby rugby rugby rugby Rugby rugby rugby rugby Rugby rugby rugby rugby  O and rugby!
love teaching,Some of my kids have married and moved away. I value whatever face to face time I have with them
platenburg,Well  she decided  for today  at least  they would be away from trouble  and just enjoy being together.
ginzel,So that is why no one knows what his name is or who he is.
Jalene Chanelle ,nobodies opinion is needed.
Liyaah(:,Some of these kids gne be more focused on they clothes than they work !
Nichelle,Tess Jus perm my Hair she got them growing hands
Samuel Davis,Cairns Regional Council says it will replace the waterfront precinct project with a performing arts centre. http://t.co/i2AvUP4P
alessia canosa ,Dear God  you just love torchering me every time  same week  every year. Thnks for the support God!!!! :@
Its all luv baby ,#InCaseYouDidntKnow its not always about the cover of the book  but more about the content within it
the LEGEND ,One question  where these "leaders" be at when they actually needed?
The Side Chick Life,#NeverShouldYouEver not be open to new experiences. Step out of your comfort zone.
XoXoXo ,......,Omg he annoying !
GiGi,When we can laugh togather &gt;&gt;&gt;&gt;&gt;
Fatima robles,Just saw the cutest Mexican guy!
k a s s a n d r a ,HONESTLY.. I hateeee the pictures we took that day. All of them. They're ewwwww........ http://t.co/VK0X79pL
Lonna Conales,Caleb Williams: The reputation of WILLIAM GODWIN as a social philosopher  and the merits of his famous novel  "C... http://t.co/jK3IMBXX
sWeeTs!,Looking forward to the weekend!
XoXoXo ,......,Omg he annoying !
Ir. Budi Utomo ,Test Ubersocial
' lola_bby !',That crap hurt .
Georgia Stamatop,The best Unit Converter and Currency Converter application for iPhone free: http://t.co/Fay51HXj
PSOE :),Mom just told me about the funeral....... I wish i went..
'Quita Tenae,I Love The Red Head Cat On #Victorious
Landi Blanco,Ooh I'm Tweeting in the church
Aniiiiita! :),I was thinking  when 1D comes to South America  they should bring Ed Sheeran as their opening act! If that happens my life would be complete
Lewis Kenting,It was rather nice to bump into a very drunk @Naabb21 and @SianSweeneyz. They didn't stop talking.
Kaia . ,I swear   i have no friends
XoXoXo ,......,Omg he annoying !
GiGi,When we can laugh togather &gt;&gt;&gt;&gt;&gt;
ThatBadAhScorpio,I'm in love with a stripper.
paigey wagey,You really shouldn't need but so much on the job training at Walmart!
Jordan Pike(: ,When people say that they r gonna do something and then they don't &lt;&lt;&lt;&lt;&lt;&lt; if ur not gonna do it  tell me so I don't get my hopes up!!!/:&lt;
Layla Unlimited,&amp; basically you all said I don't support @mslayel and I was the first one sticking up when she got hate cause she was cleaning the timeline
StonyBee ^__^,I be bring up the weridest convo's .. Do not care
Kristian_Alivia,Ready to work and make these dollars
Andy Locsin ,Just finished eating
Bree IvyD Hen.,I had to chug that creative girl!! Lmao RT @AneduKAtor_508: @breezybabez be trying to stall on this workout
E R R O R ... ,Snagged that job 
paigey wagey,You really shouldn't need but so much on the job training at Walmart!
Jordan Pike(: ,When people say that they r gonna do something and then they don't &lt;&lt;&lt;&lt;&lt;&lt; if ur not gonna do it  tell me so I don't get my hopes up!!!/:&lt;
k a s s a n d r a ,HONESTLY.. I hateeee the pictures we took that day. All of them. They're ewwwww........ http://t.co/VK0X79pL
Lonna Conales,Caleb Williams: The reputation of WILLIAM GODWIN as a social philosopher  and the merits of his famous novel  "C... http://t.co/jK3IMBXX
Jalene Chanelle ,nobodies opinion is needed.
Micaelaaaa :),Maybe it was just a crush this whole time..
Vlad,LMAO @Bleepthat1 and @carlito_1989 just touched down and the random fuckery is well underway
Cristal Natasia,RT @WilI_Smith: The less you care  the happier you will be.
babula,I think it's all made up in their own heads.
Zach Lonsinger,This is what happens when you have a @Subway addiction and photo editing addiction... http://t.co/Nul8oZ8q
Electric Latimer,I be needing that
Lanita Rollins,What. Is. This.
Michael D. Palumbo,Anyone wanna go to the movies tonight?
StonyBee ^__^,I be bring up the weridest convo's .. Do not care
LNH ,Just seen my high school white boy crush.... I'll still hit that! Lol
joe cardillo,can't wait for @briheymann to be on that #iphone4 flow do we can FaceTime
imPhamela,There are moments in life that I will always remember  not because they were important but because you were there. @iamtriciasantos
Wesley Crawford ,Go and dondo won the basketball game
Bailey Gruber,Why would anyone do this to me? I don't deserve any of the crap people give me. It gets overwhelming. Smiles are just cover ups for pain --&gt;
Braedon Jackson,Can I chisel some of the ice off your heart for my drink?
Vlad,LMAO @Bleepthat1 and @carlito_1989 just touched down and the random fuckery is well underway
Cristal Natasia,RT @WilI_Smith: The less you care  the happier you will be.
Taegan Bolden-Davis,Spending class lectures remembering the tips your tumbling instructor gave you #cheerobsessed
OG. ,I wanna have good dreams tonight  not wierd fucked up tings and not dejavu dreams either.
Kameron Price,Ole girl just a second ago though &gt; lol
Taylor Kuykendall,Just got the response from Alpha/ Independence on earlier mining death. Updating our story now.
Fred Zumwalt,RT @washingtonpost: What that study on the health benefits of coffee actually found: http://t.co/cfeui8Jd // Bummed
,           ;; 
imPhamela,There are moments in life that I will always remember  not because they were important but because you were there. @iamtriciasantos
Wesley Crawford ,Go and dondo won the basketball game
imPhamela,There are moments in life that I will always remember  not because they were important but because you were there. @iamtriciasantos
Wesley Crawford ,Go and dondo won the basketball game
Iam_Hk MIDGETMACc ,Jack in the Crac do not go nomore that shit taste nasty now too me.
Edward Wojciechowski,#ifonlyicould have not laughed while i wrote that last tweet.
Alexandria D.,He is quoting all kind of things that had nothing to do with a commencement ceremony!!!!! Omg
Andi,Y'all make my lesbian seep thru the inseam of my panties.
 (Miranda),Gotta reread act three then finish the rest of the book by Monday -___- i hate that book i thought it would be good but it just confuses me
Nombuso Makhathu,RT @RevRunWisdom: The moment you become fed up.. You'll stop them from feeding it to u! #wordUp
Yuna Kion (),Shin looked like an interesting person. I wonder how he acts like. c:
Mr.All Dat,Lmao the pacers ain't playin no games!
Arch,Good morning  friends. Today  let's all count our blessings. Just need to find strength and hope that everyday is gonna be a better day.
sofia reyes,Getting ready for celebration 
Kim London,I entered to win tix to see One Direction live #1DTourChicago | #UpAllNight The Live DVD is available 5/29! !!!
sofia reyes,Getting ready for celebration 
Oscar Rodriguez,Girl im mad cause the things you cant see. #thatshowthingsaregonnabe
Infamous,If I can spend the rest of my life with my people I'd all over and over again
Candilicious,Need something to get into..
32Fl@vors_+Sum,U riding with me . Don't Touch The Radio. U listen to what I want to hear.
'no fly zone',We threw a party  yea we through a party
Ant Ortiz ,Sittin wade on the Bench isnt gona get him Goin on offensive ..wtf is Spo doin?? They need to give me the Coachin job!
,Keep them squares up out yo circle
AndreaSecrets,watching american idol   i want jessica sanchez to win the whole thing
Tiffany Brown ,When people ask me to do something or for something  I'm going to ask myself  would they do it for me?! That'll determine my answer!!!
32Fl@vors_+Sum,U riding with me . Don't Touch The Radio. U listen to what I want to hear.
,Keep them squares up out yo circle
AndreaSecrets,watching american idol   i want jessica sanchez to win the whole thing
Tiffany Brown ,When people ask me to do something or for something  I'm going to ask myself  would they do it for me?! That'll determine my answer!!!
32Fl@vors_+Sum,U riding with me . Don't Touch The Radio. U listen to what I want to hear.
,Keep them squares up out yo circle
AndreaSecrets,watching american idol   i want jessica sanchez to win the whole thing
A7x,I just unlocked the "Local" badge on @foursquare for checking in three times at the same place in one week! http://t.co/nHl1A3fJ
Nikki xox,To much shit to watch  Missing is on  then Grey's &amp; Awake  the games nd idol...
Muhammed Taha,They tried stoning me my dear. It did not work.
Drake Gomez,The laugh at the beginning of Inside The Fire by Disturbed is so badass.
Selisa Gonzalez,Ughhh I don't wanna get up &amp; get the iPod .
Miguel,The things that happen to you  shouldn't make or break you. You should learn and move on and push through with your life know what happened.
College kid,She is going to regret that choice in a few years  duh.
Tiffany Brown ,When people ask me to do something or for something  I'm going to ask myself  would they do it for me?! That'll determine my answer!!!
Miguel Vasquez,when people lol at themselves for even considering studying for the aphug exam... how are we supposed to know you won't #questionofrackem #.
Sophia Boo,Me before I sleep ;P the sun is rising :'( http://t.co/6uLFlxf9
Epod BITCH ,All the pieces are falling into place
(),usually to ridiculous counter-arguments that have nothing to do with the original point.
Michaelia Riggins,Now she wonder why ion be at home
Menissa Blackwell,You are driving a mini van with rims on it  please don't hit on me that's a nono.
FinallyFamous SMDTMD,Since They Wanna Block Of Expressways and Streets.... I'm taking the streets to prom
Lexi Soukhaphaly,Nothing like going the wrong way in #Vegas
Khyati Patel,Cause you'll say you love me  and I'll end up lying  and say I love you too
C.S,Night Twonkies.The days that i used to stay up nearly the whole night watching bunch of ppl living in a house are starting to catch up w/ me
College kid,She is going to regret that choice in a few years  duh.
May 18th ,Them Heat boys good .
ADEL SuJu,just Trust and Believe
ADEL SuJu,just Trust and Believe
Daanis Chosa,Love being the youngest  newest  &amp;&amp; second female in the Fire Dept. Good training for my ambulance crew AND fire crew.
Syd NayNay,Gah who cares
ananda ,one day I'm gonna forget your name and one sweet day  you're gonna drown in my lost pain
Gio Beltran,I need you in my life  I guess.
SJ's Mom,This must be my Kassi poo with the phone LOL@psid412 Jhbweuyttty9idyYf
C.S,Night Twonkies.The days that i used to stay up nearly the whole night watching bunch of ppl living in a house are starting to catch up w/ me
Lexi Soukhaphaly,Nothing like going the wrong way in #Vegas
Khyati Patel,Cause you'll say you love me  and I'll end up lying  and say I love you too
C.S,Night Twonkies.The days that i used to stay up nearly the whole night watching bunch of ppl living in a house are starting to catch up w/ me
College kid,She is going to regret that choice in a few years  duh.
May 18th ,Them Heat boys good .
ADEL SuJu,just Trust and Believe
Gio Beltran,I need you in my life  I guess.
SJ's Mom,This must be my Kassi poo with the phone LOL@psid412 Jhbweuyttty9idyYf
thug life .,that LONG conversation me &amp; Vickia had .... &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
mamaaa kris ,I have organic lemonade. Idk wtf that means.
Hunter Stern,A cigarette pressed between her lips but I'm staring at her tits  its the wrong way
Dominque Crinson,She took a beating and all because she did not want other people losing what she'd lost and then the idea of admitting it was lost was too.
alex quibano,If the heat win I'll my pants #CantBeatTheHeat
Dominque Crinson,She took a beating and all because she did not want other people losing what she'd lost and then the idea of admitting it was lost was too.
alex quibano,If the heat win I'll my pants #CantBeatTheHeat
Charlie D,lol i was at the jeopardy that aired tonight and new the kentucky derby answer and none of them did #imageniusiknow
Ville Valo ,Fuck I need money for concerts
Fearless4Efron ,Clevvertv  the confusion you gave me is to decide weather to pick Taylor Swift or Vanessa when it comes to fashion. I really can't choose...
Erin Bodyshot,The b in apt 23 is the funniest show ever
Maddy Elking,Quality bonding time with my car!
LaMichael Bonds,Watching the game now
mamaaa kris ,I have organic lemonade. Idk wtf that means.
Hunter Stern,A cigarette pressed between her lips but I'm staring at her tits  its the wrong way
Queen DEE,Don't forget to count ya blessings!
Brandon Lee Tenney,All y'all. Check out @Civilian_Sounds. Their debut album just released &amp; it's great! Pick it up and it's they who will feast on your ears.
T-SouY,#IncaseYouDidntKnow the world is suppose to end in 7 months! Best be doin some #PartyRockin 
Georgia,I heard on the radio that in some parts of America you are considered poor if you use a washing line. Is this true?
T Murph,Chillaxin 4 the night. Might hot tub it out
Ellie,And now a piece of me is a piece of the beach  and it falls just where it needs to be  and rests peacefully
SupaaMcNastyy : )) ,   Waiting
Katie Rzepka ,When people say they can't text but their tweet....#annoying
Jill Lawler,bacon is god
Dossett Marchese,#ifonlyicould slap the stupid out of people.
~One&Only~,When you lie and I already know the truth&lt;&lt;&lt;&lt;&lt;&lt;
Chocolate Drop Ni Ni,seee it aint even like that .....
Ma-Ma :} !!!!,chat to muh back!
Zephyr Kite Tours,Good luck to all the girls going to the Nats this June long weekend  I hope that through my coaching camps I can... http://t.co/Ae7ZaWKh
,resisting the urge to shoot this tv.
Gnardeaux ,Wassup with the bol Wade tho.... 0 points
Em,Respect is all I ask for
melissa vee [],i got niggas in YO hood thats riding with ME!
Dossett Marchese,#ifonlyicould slap the stupid out of people.
