name,text
SB,I hate wen ppl comment on mu picks talkin bullshit -_-
Hannah ,#NotBeingRudeBut one direction is way too over exposed.
Madison Evans,No one understands my obsession with #House. And now it's over. These commercials are pissing me off.
l'amour est une doul,The "lol " moment when someone is lying oh god :D
Karmatic ,Thares alout of pplz tryin to get into bars on a holiday ha$
Adam Lundberg,So we can't find smithville
Corbin Nicholl,Borrowed a lighter from the clerk to light my blunt... You could hit it I don't care
Princess Unicorn ,Fuck being above the influence. I want to get high  like now.
Bhagavana Guiso,Had she been trying to grab.
Sara Dunegan,How will #house end? Soooo excited!!
Luke Vernon,New episode of The Simpsons is So bad! Lady Gaga came in on her whore train and shit all over the place. Watch with morbid curiosity.
jalyce lewis ,it dont matter as long as i get to be 1 of their #1 girl http://t.co/LJCAkOh8
Symone A. Davis,Bed in an hour.... Sigh
Freddy Gad,Literally no one wants to be on the phone with you less than the lady who answers the phone at a Chinese restaurant...and I fuckin hate her
,I need a vacation
Newo Llod,Diamond shirts came in :))
Onella Charles,It's so annoying that my dog's afraid of fireworks cause on nights like these he's super clingy
Laci Kelly,Fuxx All This I'm  Ready For The Reunion &gt;
TREY A BOSS,Twitter  I think I'll be back for a while
Ebby ,Hubby is out with the boys and babygirl is in the bed #metime
Dallas O'Meara,Bad play Tex  should had the easy out
Carly Waters,Oh my god are you serious right now!? These guys just put on the Batman song while they are playing COD..gettin all into it and shit bahaha
l'amour est une doul,The "lol " moment when someone is lying oh god :D
   ,Like i want to but then......
Pat,This is the best movie George and Mike Kuchar never made.
karina lozano,i dont care what your after as long as im the one
Alyssa Alva,Looking back at me &amp; @0meza 's convo over the past yrs and laughing about how we use to flirt &amp; talk to eachother lol
June 8 ( ;,we should go see Adreal.
AO,Life goes on
CeCeTheRealest,Take It To The Head .
MAY 21ST,Jus cut the cake :)
EssTee Jae : ),Lmfao   me and this nigga JUST start conversating &amp;' ha already want me to come see him ! #HeThrough
offley,Threats and curses.
confrey,About herself  Sonia wrote that she had succeeded in making some.
Hunter Reynolds,This week gonna be fun !
blow,pisseddddddddddd off.
l'amour est une doul,The "lol " moment when someone is lying oh god :D
Joey Rondo Wilson,A Bugs Life is only trending because it's on TV and people are freaking out about it. I own the DVD of that movie. #True90sKid
Connor Smith,Seriously?  Fuck you.  Never been so frustrated and pissed off.
AmberNeal,I had a recurring dream last night about tons of tornados in one place nearly killing me and here it is bad weather.
Priscilla O,RT @BernieStillFly: That odd moment when u are about to walk by a group of black men and they all of a sudden get quiet... -_-
laurenelizabeth,fstw.. I guess I'll just smoke alone and go to bed.
mittendorf,Attributed this sensation to pity--immeasurable pity  and this.
Kaitlyn Kramer,Drinking with my lovie 
Darrion Tate,Women who CAN cook more then noodles and hotdogs &gt;&gt;&gt;&gt;
Shannon McCool,I miss the lips that made me fly
I'm Just B,I use to be excited to talk to special people on the phone..
JASMINE,The females these days.U shouldn't have to act to please anyone. Be yo own person and stop tryna fit in to be cool. Cuz that'll get u no whr
KIRBY+3,wyd hit me up thoe
Emily Bark,I'm so hungry and I really just want school to be over. Only good thing is #OneTreeHill is on tonight!!!
Yonn ,i really want #oomf to be minessssssss !
shannon raess,I'd like to nap but then that's just wasting my day
blow,pisseddddddddddd off.
Jesus Shuttlesworth ,i can't watch that game anymore  the 76er's litterally turn it over every poesssion  It's ridicolous
Neda Shahoori,i need new headphones. any suggestions?
Darrion Tate,Women who CAN cook more then noodles and hotdogs &gt;&gt;&gt;&gt;
Onella Charles,It's so annoying that my dog's afraid of fireworks cause on nights like these he's super clingy
Laci Kelly,Fuxx All This I'm  Ready For The Reunion &gt;
blow,pisseddddddddddd off.
l'amour est une doul,The "lol " moment when someone is lying oh god :D
TruthTella,Lord Royce on the trip
tiffany fernandez :),I will respect those who respect me  and forget those who forget me. Simple as that.
Halee Simmons,Mumford and Sons
Triinu Joderli,Brought him to this place  to this extremity.
Rachael Correia,I need of a nice massage
Steph,I can't get over that movie. Two hours of my life...gone.
Alma D.,yolo yolo yolo yolo. It's all about that yolo right now.
,I need a vacation
Johnathan,Treat you parents with respect  no matter what there ATTITUDE is  you never know what ya got till its gone.
z grci. ,i can say that my dress is okay
Kristen Beneke,First day out of high school?  Work painting and sitting on my mac!  #Whatalife
zenzele ubaka,Aw the last episode of house! *tear*
  S y i d a h  ,Nosey bitches das that shit ion like  bitch watch out   mind your!  Preciate cha :)
theresa,all i do now a days is study  sigh end of school hurry.
---,that was loud.
C.Y.U.N.V BJ ,Pulling up at the crib.... Laawweeed I got so much shit to get out
New'ERA,Oomf Is refering to that bunk ass party that took my $2 and shut down immediately  i got forced out "Law Enforced Out" lmao
Brian K Wright,Listening to CDs and reading books is the best way to get positive input. http://t.co/z9kQDuYP #motivation #inspiration
kathleen ,it's just rain on my face dont worry
Dan Gheesling,Ditto and @Weezer concerts. @grahamorama I've said it before and I'll say it again: Big Brother is the highlight of my year  every year.
Raghu Podipireddy,Rondo is a beast! way better then that lebron kid
@RajonRondo Wifee,I'm actually going to watch this Laker game tonight though!
A Scorpio's World,Ring The Alarm. . =)
Carlos saavedra,Listening to 2chainz and thinking what the fuck?.. #IstayLaughing
Winter,Lala please stop wearing shoes you can't walk in!!!! And they're not even that cute!!
Laura Toledano ,That awkward moment when everyone is laughing at peoples jokes when you try to say something then no one laughs.
Loren-Marie,Yentl &lt;3 Love this movie
Annisa MFH ,katy perry - part of me
Mr.Thumbs-Up,Coming from the YMCA
Evana,#oomf tweets referring to #lucianturnoffs is on point right now
Saud Alzamil,God is way bigger than your problems  no matter how big or how difficult your situation appears  it is no big deal to Him
Amy VanHouwe,Welp tonight's one of those nights
Chantler Ritchie,This is a set up what is the speed limit
falkiewicz,They accused one another.
Shane Dumond,Lil Wayne can't be the son of rap  last time I checked  Mr. Mathers didn't have a son.
Always On Top,RT: If yu wanna fuq one of ur followers
Yazmin ,does anybody else say "water you doing?" or am I the only person who does that?
Cameron Campbell,I just noticed every even number has a hole in it
kaylee boaz,Ugh really! Are serious!
 ,I have a serious addiction to nail polish.. #help
Amy VanHouwe,Welp tonight's one of those nights
G.,Don't be oblivious to the truth.
Robyn Schultz,Rethinking professional governance: International directions in healthcare: In bringing together research from a... http://t.co/mwipZRbo
Amy VanHouwe,Welp tonight's one of those nights
G.,Don't be oblivious to the truth.
India Johnson,People can change up real fast when some body gets around them. It's a shame
Tesia Davis,I don't understand how people can be so cruel.
Infinity ,Shit I don't have a circle   I fucks with who ever .
U Mad Bro?,When you walk into a room and forget what you looking for  the remember later when its useless&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;
kaylee boaz,Ugh really! Are serious!
 ,I have a serious addiction to nail polish.. #help
Caitlin Roth,Round of showers pushing through the city now making it wet 4 last few innings at CBP #Phillies
poriya khoshdel,EVERYONE is going out to watch fireworks :(
Torah,These hoes ain't gt no hone training
Megan Sparks,So glad that blakeeeeeee is comin ovaaaaa! #missedhim
ms.dollA's ,cuzz when I step out they loving the crew the loving the crew the loving the CREEEEEEEWWWWW!!
Tysie Milliken,I need a !
G ,Summer  hurry the fuck up!
UNEQUUUUUE :) ,About to find a movie to watch ;)
SIMON-P ,Out of it right now #drained #readyforbed
GO_Getta,Ima Chill and smke strong to tht one #Realshit
Amy VanHouwe,Welp tonight's one of those nights
G.,Don't be oblivious to the truth.
FOREVER FLY,bench warmers do ride foreiGn...
lucas kinney,The new c63 black series gt3 is my new addiction #lovemercs
DeMarion's Universe,I dislike a lot of ppl
 JrawH,On that other shit.
Jazmine DeBlaw,To Much Conversation  Though
Camonee Myers,Reminds me of the movie called Obsessed lol...
maura !,grew up a fuckin' screw up got introduced to the game got an ounce &amp; fuckin' blew up 
Bew Bews,i think i will pee myself to death thanks a lot ed sheeran
Anonymous.,I'm kinda okay with paper1  since we get to use the calculator. Hm paper2 sux.
Casey Hicks,shouldve coniued the life we were living with the decisiom we botth made #ugh
Amy VanHouwe,Welp tonight's one of those nights
Luquince Harris ,Ran into the basketball goal now my Shoulder hurtin
Infinity ,Shit I don't have a circle   I fucks with who ever .
Coco Chaneil ,My Mom and Dad :)
Chris McCarroll,I had my share of lovers some say im damn good
farhana rahim,mornings earthly creatures
Pimp J In The Crib ,Den missed bout half the season of Lala's Full Court Life !!!! It'll come on in the summer so I aint tripping to hard !!!
TWIGGY,The Devil Sent Me #here
Chuchaa Madre,I mean  in a way  the AA community does lack strong work ethic y'all complain about Bowie and its not challenging but what he said was wrong
Jason Taylor,Got a white girl  and a redbone put'em together #CandyCane
No, this is Patrick.,I can't handle me  how the fuck do you even..
-RestOnDaddy,-  Lorraine be twatching me
Mr Hamm,When I'm talking football with someone and they bring up Tebow at any point in the conversation you're instantly considered a dumb fuck
Luis Montano,I put my love on top: loving me from me!
Jefferson,my sleepis off  just woke up for the day -_-
Jason Anderson,Music heals the soul.
MonicaAshlynn(:,Never leave the on you love  for the one you like  because the one you like will leave you for th one you love &lt;/3
Josie Adree Annie,Sore throat!! Bad headache!! Now what????!!! ()
,Bitches be blocking me and shit omfg
Jerry Lane,In fairness  I'd rather get leprosy than have to put up with anymore of your bullshit...  Your the commonality in all the problems  twat.
Kylee King,I have the best grandparents in the world. Left my books at dads and they go out of their way to bring them to me
cAnDiCePaTrICe,Me n da bestie just left da park I needed that workout.... Bout to get bk on da workout grind dis summer!!
luna,God is love  learn to love young world!!
Carlos,Stayed up for the lakers
phyllis.tenkorang,I'm forever grateful to the Maker!
Jason Anderson,Music heals the soul.
MonicaAshlynn(:,Never leave the on you love  for the one you like  because the one you like will leave you for th one you love &lt;/3
DeAsia Jackson,Regrets are for people who don't understand life.
Shishu,We've had our doubts but now we're fine  and I love u  I swear that's true. I cannot live without u.
Adam Posey,I wish I could live with the duck dynasty crew
iTweetMyHeart,The stuff I can't tell her I tweet it cuz I know she will read it
JaQuita Brown ,I'll probably be sleep at 12:00
Briana Sharae',Meatball lied to me. 
Baylee Stovall,i can feel the difference #idontlikeit
Mariah K. Brown,That's just the way it is
Samarri Hunter,Need to do something to make time pass ..
r ryponll ,sobbing just sobbing that's all sob
Jillian Jacques,The amount of homework I have &lt;&lt;&lt;&lt; 
Mandaaaa ,thats why your ass questioned me that day bout him. lmfao
natural`B E A U T Y*,moms turnt to baseball o_O
Lexi_Flamingo,concert in two days #GetHype
Sasha Gatti ,People overact when they find out someone cheated  Build a bridge &amp; get over it bitch  its nothing new he just wasn't the one for you.
North'Sidee'Mir,Who wna mention / Dm? #RT
TURNT UP !!,Sooo  what is on everyone else's agenda for the summer?
Chris Johnson,Must of been a sign..
bayas,He stared out the window at the bright blue morning sky  at the.
Sasha Gatti ,People overact when they find out someone cheated  Build a bridge &amp; get over it bitch  its nothing new he just wasn't the one for you.
North'Sidee'Mir,Who wna mention / Dm? #RT
~,~Temptations ** ,I dont need no other guy but God &lt;3
linny wood,Don't know what to believe..
Elfira Virginia,there's never a wish  better than this ()
Irving | MK3R$,It feels weird not having a tail now. The back of my head is cold lol
Sacha McAndrew,here we go again with the fireworks..my poor dog can not take it!
A'janae ,This the last time I'ma play this song.
Lexi_Flamingo,concert in two days #GetHype
Kiara,Just waitin on my turn..
Ashley,They say time waits for nobody I suppose it's true
Princess Tae ,Doing what my bestfriend said : LETTING G O
Monchis,This day is irritating me!
Shayne Lehner,Patterns 2. Design  Art and Architecture (No. 2): With more than ten thousand copies sold of Patterns in Design ... http://t.co/A3w3cvVS
Ashley Walters,She may be on the hate list this season  but @Teresa_Giudice takes the cake for best people skills! #RHONJ She is so great with her fans!
 Shaya yaya,I've been thanking god all day today and praying like no other! I must say I'm at peace right now!
Dianna c:,Hate doing things at the last minute.
Paige,Ooo the drunkken hiccups!
Lexi_Flamingo,concert in two days #GetHype
Lexi_Flamingo,concert in two days #GetHype
Lexi_Flamingo,concert in two days #GetHype
Lexi_Flamingo,concert in two days #GetHype
laurie.,I'm all hype cause of the monster drink Ratana bought me. .-.
FUCK SHIT-TTG-,Approach the game with no preset agendas and you'll probably come away surprised at your overall efforts
SuPaMcNasTy,who want a mention ? #rt
meydid,Consider the lilies of the field  shut up  shut up.
India Carter,There is always somebody who doesn't like something #opinions ughh  that's the world
Irving | MK3R$,It feels weird not having a tail now. The back of my head is cold lol
Shaquilla Ferguson,@_PickUrPoison_: Her time of the month I guess respect that.
laurie.,I'm all hype cause of the monster drink Ratana bought me. .-.
FUCK SHIT-TTG-,Approach the game with no preset agendas and you'll probably come away surprised at your overall efforts
Sam Meisenhelder,The Borrowers ruled  but im excited to buy The Secret World of Arietty! Yeeahhhh
Shelby Grace Mays,Catching up with old friends &gt;&gt;&gt;
Davin Boggess,Holy cow. There are about 46.7 million gay people in the u.s.
Terry Chambers,If its one thing I should be known for especially doing business is being on time and most times well before.
Instagram: _toobutta,thats why i really dont fuck with her all like that
Steph Shimon,Reality is an illustion that occurs due to the lack of alcohol.
Lexy M. Walker ,If i can have YOU dat a really blow my mind o_O
iGuess_kmsl,Now this a 20 point lead . They got it
Dr.Archelaos,Fuck I'm ready to go
Fwok Kai Shi,Why must the interview be so early? Why not 3pm? -.-
Erin Tracy,Sometimes the person you least expected  becomes the one person you need the most.
Tyler hansing,Going 5-9 in school ball and not caring because summer ball starts next week #whocares
Lindsey Berry,This ain't how I pictured good bye..
Chelsea Natividad,There's just a lot of things to be grateful of. &lt;3
Dafne Ayala,I hate crying
[Kwa-Nah] Belle,Tahlia said balloons &amp; confetti is going to fall outta the sky at Midnight !!!! I love ha lil ass !!!! 
BSK=BullShitKillers,It is far better to be alone  than to be in bad company. -George Washington
Lindsey Berry,This ain't how I pictured good bye..
Chelsea Natividad,There's just a lot of things to be grateful of. &lt;3
CLAUDIA GRILLON,Goin big on the next
Jade   ,All with the help of the 2nd loml @KurlieSuzahn!
John Franchini,need to get out of my house
matt erwin,stock jeep wheels with pathfinder trail ap. size p235-70r16104s in really good condition $300 obo http://t.co/xu6pw1IR
CLAUDIA GRILLON,Goin big on the next
Jade   ,All with the help of the 2nd loml @KurlieSuzahn!
 ALEXANDRA TAYLOR ,There's no such thing as being bisexual   you'll always like one gender more.
N-Dawg,Sensitive ass people.. thats all I deal with now. Damn  suck it up..
^KLVN J0$^,this is the ultimate solution instant gratification  http://t.co/yhuVnuIU
Gucci Mane La'Flare.,one more 20 question test and i will have my permit ;) 
Michael Galligan,I'm trying to decide what was worse: this main event  the Punjabi prison match or 'Taker vs Giant Gonzales at WM9. #OverTheLimit
dell,I wonder if anyone gets irritated when i tweet this much.. I hope so
CHiLL Gates,Reminding my sister of this $300 debt every two hours up until this trip on Thursday &gt;&gt;&gt;
Kevin Finner Jr.,Chris webber is such a sack of shit
iheartpolarbears,#HouseFinale I am going to miss House. I am glad that there are still reruns and marathons
GetHIGH on La,I don't have time  and tonight is not the night! Calling it a night early .
Alfredo Sanchez,;) &lt;-- the "i want to fuck" face
Kathryn Summer,Soo obsessed  with the killing I have watched 13 episodes in like 3 days
You have reached,No one knows what being alone is anymore
shanaemartin,That's wat I hate about spring and summer all these ffffff bugs damn
I'm The Girl Who,If I start hurting myself again just know you're the reason why.
Oh Hello There! (:,totally jelly of all these cute as couples  welp  its okay  my time will come .. :') &lt;3
BASE POSITIVE ,not even talking about that
CocaineWhite,I care for the wrong people..... *oh well*
LaTeseee,I guess I'll do my work while I'm waiting for him.
CLAUDIA GRILLON,Goin big on the next
Jade   ,All with the help of the 2nd loml @KurlieSuzahn!
LovePINK  ,Going to sleep early tonight .
Shaena 
Barnes,Dear @TurdFerguson135   @ohheyitscallie and I are so proud of you. Just thought I'd let you know. 
MukadziMutsvuku,I don't like it when people ask me questions about other people. kuvunzana makhuwa bhodho just ask the person directly
$$$$$$$,Fenna get in the shower .
Yvonne Villarino,I was overwhelmed  and frankly scared as hell (8)
Dionna Hardin,Im ready to move away.
^KLVN J0$^,this is the ultimate solution instant gratification  http://t.co/yhuVnuIU
Gucci Mane La'Flare.,one more 20 question test and i will have my permit ;) 
Michael Galligan,I'm trying to decide what was worse: this main event  the Punjabi prison match or 'Taker vs Giant Gonzales at WM9. #OverTheLimit
R11S dreamchasers,Fresh Prince is by a long shot the best television show in t.v history! Non-negotiable!
Megan Hardiman,I feel so blessed-of all the billions of people who could have shared my path  I stumbled across you.#NothingCanTearUsApart #NotEvenDistance
DavidKing,Working on a New Single with Dele Christie  title and date will be announced soon watch out guys.
 NaE WeLcoME ,now she want a photo 
 Rach ,Why are people nice to you one min then the next they are a complete dick to you! I seriously give up!
Rachel Steffel,finding someone to work for you is the worst :( #busybusybusy
UG,I bet cereal would taste unbelievable out of the cup.....with beer! #BecauseItsOURcup
Plain Jane ,Omg I hit 10 000 tweets and didn't realize it
Rosy Russo,Boutta hop in the shower
Abbey Greene,If they really did care about you  they would never question how they feel about you. Others would not even matter to them. #fact
Soliiie ,the people in this town &lt;
Kyle Campbell,Good looking girls who can play the guitar &gt;&gt;&gt;
maureen vicencio,Sometimes a song can say exactly what's going on in your life.
AseNViRoyale' ,The most interesting birthday yet... thanks to a very beautiful friend of mine... *all smiles*
Steve Downie,So James is a whore now? Smh
Katie Boston,Stressing over history #TheUsual
Iqra Payne,he was not sitting on a boar
maureen vicencio,Sometimes a song can say exactly what's going on in your life.
Alexei Vronsky,Finally I have convinced her to abandon her husband  and make our lives one.
Soliiie ,the people in this town &lt;
Kyle Campbell,Good looking girls who can play the guitar &gt;&gt;&gt;
Kyle Campbell,Good looking girls who can play the guitar &gt;&gt;&gt;
BuggzBunny,I always see people get mad and into argument over the littlest things  and I hate arguing .
Norma Avalos,Waiting For The Sun To Go Awayy  So I Could Go Run!
I go by TINK :),I just did this to the dudes in my dm \~/ lmfaooo
Deejay Macyke,I wish I could say things get easier.
hamlett,I told him somebody was sick in there  and asked what I could do for.
Kyle Campbell,Good looking girls who can play the guitar &gt;&gt;&gt;
Kameren Bridges,I can't be the only person who thinx a Yellawolf and MGK would be amazing!!!!!!
Kevin Johnson Ruiz,You don't know what I'm capable of.
Leanen Philmen,the sun is out...everyone is happier! it's going to be a good week...
mekayla wilkerson. ,my grandma told my boyfriend to shut the fuck up. i'm weak as hell.
 Brande ,There's so many different sides to me .
Genesia lemuel,Hate this place .
HBK Ralph!,I wanna be the best
HotTopic ;),Gotta call on Friday for 1 &amp; did the app for it the day b4... So hopefully this will be easy for me *fingers Cross*
SixFourSix,Looking at your ex and wondering "was I drunk the whole relationship?"
Young Fly nigga ,Kobe and pau gasol finna look like the old kobe and pau back when they won back to back championships
Farrah Garrido,the text messages between @jkalanie_x3 and I are too real 
Kimmy palala,and keep thoe rude comments to yourself
 ALEXANDRA TAYLOR ,There's no such thing as being bisexual   you'll always like one gender more.
Bianca,#Celtics beat the brakes off of the sixers... #OKC up next!!!
Uma Skilletfan :3,I love you You were ready The pain is strong and urges rise But I'll see you You'll let me Your pain is gone  your hands untied
Bailey Kesteloot,this needs to trend!!! #MichiganFanciesA1DSigning
Craig Atkins,I really don't give a fuck about work today. Or any day to be honest. I have no attention span for this
Kyle Campbell,Good looking girls who can play the guitar &gt;&gt;&gt;
Lalalalalaa ,I'm not the fighting type  but best believe aint no b*tch in my blood at all.
Voodoo 5,There's a luxury box at the Trop done up like the inside of a Hooters. Yeah  I'm never moving back here ever.
BuggzBunny,I always see people get mad and into argument over the littlest things  and I hate arguing .
Norma Avalos,Waiting For The Sun To Go Awayy  So I Could Go Run!
 THE_HAT || HA ,True Love Never Diess 
Darren Lejuez,RT @TheBoysWho: RT @TheGlrlsWho: Here's to the girls who have self respect
 THE_HAT || HA ,True Love Never Diess 
LEGALLY B L U E',I feel so hurt   ion kno wat to believe :(
Brytnae Wiswell,At my grandma's with my cousin  dad  grandma  grandpa  and sister! But I'm on the laptop.. http://t.co/ISc4XBz3
Namon Barnes,These Direct Tv commercials are starting to get out of hand now #ijs
No More Mr.Nice Guy,Its depressing
Derek Skinner,The Cubs are about to be 12 games under 500 considering they are already losing 7-0. They were just 5 last week about to lose 7 in a row
austin councill,"just to see you smile  id do anything  that you wanted me to" @MPalestisxo
Chayton Rice,it's not that there's someone else  it's the fact that it's awkward.
demi trybala,I want to have fun this summer!! I think it'll be a good one.
Martina Oehlinger,Are you pushing the river? http://t.co/QMThx7Ek
BuggzBunny,I always see people get mad and into argument over the littlest things  and I hate arguing .
Norma Avalos,Waiting For The Sun To Go Awayy  So I Could Go Run!
I go by TINK :),I just did this to the dudes in my dm \~/ lmfaooo
Deejay Macyke,I wish I could say things get easier.
hamlett,I told him somebody was sick in there  and asked what I could do for.
Melinda ,There is a whole lot of people I wanna punch in the face right now .
BuggzBunny,I always see people get mad and into argument over the littlest things  and I hate arguing .
Norma Avalos,Waiting For The Sun To Go Awayy  So I Could Go Run!
Deejay Macyke,I wish I could say things get easier.
Stela Griffin,Meeting\happyhour after the second mambo taxi the meeting turned to a party lol #fail
Su Yung Bitch ,Oh well...I've learn from that bs.
Adammmm,You can't ignore the truth &lt;3
$YD.,What ever happened to Ashanti? I loved her
Reckless,so orange this weekend  hanging with my dad!
Kim Tee,I'm on to my third wall in my room already  it's full of pissssshers and random stuff :)
acire,Ok I need to go too sleep this headache is raging out of control :(
Brittney, i think?,mike brown be acting like he scared to say the wrong thing that will piss off kobe.
maddie,Messing with i'd cap that and being stupid with @allie_t13! #BondingTime
`T a h ,Gotta hit the gym up the rest of the week #frfr
FOREVER SHENENEH,RT @SocialRejectx: they wont appreciate you till you dead or gone .. so on that note i pack my bags no note on the dresse
Lauren Gilmore,There's never a right time to say goodbye but you know that we gotta go our separate ways.
-est. o2/o7/94,. "Let all grace abound toward them  having sufficiency in all things  and an abundance for every good work." -2Corinthians 9:8
Chayton Rice,it's not that there's someone else  it's the fact that it's awkward.
demi trybala,I want to have fun this summer!! I think it'll be a good one.
Martina Oehlinger,Are you pushing the river? http://t.co/QMThx7Ek
Bruna,Suck it and see you never knoooooow
Su Yung Bitch ,Oh well...I've learn from that bs.
Maya Aharon,all these fireworks for me? :o
   ,Guess what nigga ? Idgaf
Jasmine Danielle,When I go to Zumba I pops it as hard as I can lol
 Valerie Castorena ,And I never Thought I would see the day we grew apart And I wanna know .
brittany silva,i can talk to you about anything and you always understand.
 Valerie Castorena ,And I never Thought I would see the day we grew apart And I wanna know .
Uma Skilletfan :3,I love you You were ready The pain is strong and urges rise But I'll see you You'll let me Your pain is gone  your hands untied
Amoria ,Hector Flores always talks with so much passion
 No Name,the fuck  now I have 3 dates for the movies -_____-
CassidyNicole,The price of meat is so high Oscar Meyer just got his wiener appraised. Ha :)
Kymberli Nielsen,Throw dollassss on that bittchhh
cheevers,Illegitimate son of her husband  and invariably displayed towards.
-CHARLOTTE-,Wellllll  the FAKESHOW should be cancelled lata on tonight ;)
Becket Cerny,The worst thing you can do to yourself is complain. Don't worry  be happy!
