name,text,label
Craig Atkins,I really don't give a fuck about work today. Or any day to be honest. I have no attention span for this,negative
Bailey Kesteloot,this needs to trend!!! #MichiganFanciesA1DSigning,positive
Uma Skilletfan :3,I love you You were ready The pain is strong and urges rise But I'll see you You'll let me Your pain is gone  your hands untied,negative
Bianca,#Celtics beat the brakes off of the sixers... #OKC up next!!!,positive
ALEXANDRA TAYLOR,There's no such thing as being bisexual   you'll always like one gender more.,negative
Kimmy palala,and keep thoe rude comments to yourself,negative
Farrah Garrido,the text messages between @jkalanie_x3 and I are too real,positive
Young Fly nigga,Kobe and pau gasol finna look like the old kobe and pau back when they won back to back championships,positive
SixFourSix,Looking at your ex and wondering "was I drunk the whole relationship?",negative
HotTopic ;),Gotta call on Friday for 1 &amp; did the app for it the day b4... So hopefully this will be easy for me *fingers Cross*,positive
HBK Ralph!,I wanna be the best,positive
Genesia lemuel,Hate this place .,negative
Brande,There's so many different sides to me .,positive
mekayla wilkerson.,my grandma told my boyfriend to shut the fuck up. i'm weak as hell.,negative
Leanen Philmen,the sun is out...everyone is happier! it's going to be a good week...,positive
Kevin Johnson Ruiz,You don't know what I'm capable of.,positive
Kameren Bridges,I can't be the only person who thinx a Yellawolf and MGK would be amazing!!!!!!,positive
Kyle Campbell,Good looking girls who can play the guitar &gt;&gt;&gt;,positive
hamlett,I told him somebody was sick in there  and asked what I could do for.,positive
Deejay Macyke,I wish I could say things get easier.,negative
I go by TINK :),I just did this to the dudes in my dm \~/ lmfaooo,positive
Norma Avalos,Waiting For The Sun To Go Awayy  So I Could Go Run!,negative
BuggzBunny,I always see people get mad and into argument over the littlest things  and I hate arguing .,negative
Kyle Campbell,Good looking girls who can play the guitar &gt;&gt;&gt;,positive
Kyle Campbell,Good looking girls who can play the guitar &gt;&gt;&gt;,positive
Soliiie,the people in this town &lt;,negative
Alexei Vronsky,Finally I have convinced her to abandon her husband  and make our lives one.,positive
maureen vicencio,Sometimes a song can say exactly what's going on in your life.,positive
Iqra Payne,he was not sitting on a boar,negative
Katie Boston,Stressing over history #TheUsual,negative
Steve Downie,So James is a whore now? Smh,negative
AseNViRoyale',The most interesting birthday yet... thanks to a very beautiful friend of mine... *all smiles*,positive
maureen vicencio,Sometimes a song can say exactly what's going on in your life.,positive
Kyle Campbell,Good looking girls who can play the guitar &gt;&gt;&gt;,positive
Soliiie,the people in this town &lt;,negative
Abbey Greene,If they really did care about you  they would never question how they feel about you. Others would not even matter to them. #fact,positive
Rosy Russo,Boutta hop in the shower,positive
Plain Jane,Omg I hit 10 000 tweets and didn't realize it,positive
UG,I bet cereal would taste unbelievable out of the cup.....with beer! #BecauseItsOURcup,positive
Rachel Steffel,finding someone to work for you is the worst :( #busybusybusy,negative
Rach,Why are people nice to you one min then the next they are a complete dick to you! I seriously give up!,negative
NaE WeLcoME,now she want a photo,positive
DavidKing,Working on a New Single with Dele Christie  title and date will be announced soon watch out guys.,positive
Megan Hardiman,I feel so blessed-of all the billions of people who could have shared my path  I stumbled across you.#NothingCanTearUsApart #NotEvenDistance,positive
R11S dreamchasers,Fresh Prince is by a long shot the best television show in t.v history! Non-negotiable!,positive
Michael Galligan,I'm trying to decide what was worse: this main event  the Punjabi prison match or 'Taker vs Giant Gonzales at WM9. #OverTheLimit,negative
Gucci Mane La'Flare.,one more 20 question test and i will have my permit ;),positive
^KLVN J0$^,this is the ultimate solution instant gratification  http://t.co/yhuVnuIU,positive
Dionna Hardin,Im ready to move away.,negative
Yvonne Villarino,I was overwhelmed  and frankly scared as hell (8),negative
$$$$$$$,Fenna get in the shower .,positive
MukadziMutsvuku,I don't like it when people ask me questions about other people. kuvunzana makhuwa bhodho just ask the person directly,negative
Barnes,Dear @TurdFerguson135   @ohheyitscallie and I are so proud of you. Just thought I'd let you know.,positive
LovePINK,Going to sleep early tonight .,positive
Jade,All with the help of the 2nd loml @KurlieSuzahn!,positive
CLAUDIA GRILLON,Goin big on the next,positive
LaTeseee,I guess I'll do my work while I'm waiting for him.,positive
CocaineWhite,I care for the wrong people..... *oh well*,negative
BASE POSITIVE,not even talking about that,negative
Oh Hello There! (:,totally jelly of all these cute as couples  welp  its okay  my time will come .. :') &lt;3,positive
I'm The Girl Who,If I start hurting myself again just know you're the reason why.,negative
shanaemartin,That's wat I hate about spring and summer all these ffffff bugs damn,negative
You have reached,No one knows what being alone is anymore,negative
Kathryn Summer,Soo obsessed  with the killing I have watched 13 episodes in like 3 days,positive
Alfredo Sanchez,;) &lt;-- the "i want to fuck" face,positive
GetHIGH on La,I don't have time  and tonight is not the night! Calling it a night early .,negative
iheartpolarbears,#HouseFinale I am going to miss House. I am glad that there are still reruns and marathons,positive
Kevin Finner Jr.,Chris webber is such a sack of shit,negative
CHiLL Gates,Reminding my sister of this $300 debt every two hours up until this trip on Thursday &gt;&gt;&gt;,negative
dell,I wonder if anyone gets irritated when i tweet this much.. I hope so,negative
Michael Galligan,I'm trying to decide what was worse: this main event  the Punjabi prison match or 'Taker vs Giant Gonzales at WM9. #OverTheLimit,negative
Gucci Mane La'Flare.,one more 20 question test and i will have my permit ;),positive
^KLVN J0$^,this is the ultimate solution instant gratification  http://t.co/yhuVnuIU,positive
N-Dawg,Sensitive ass people.. thats all I deal with now. Damn  suck it up..,negative
ALEXANDRA TAYLOR,There's no such thing as being bisexual   you'll always like one gender more.,negative
Jade,All with the help of the 2nd loml @KurlieSuzahn!,positive
CLAUDIA GRILLON,Goin big on the next,positive
matt erwin,stock jeep wheels with pathfinder trail ap. size p235-70r16104s in really good condition $300 obo http://t.co/xu6pw1IR,positive
John Franchini,need to get out of my house,negative
Jade,All with the help of the 2nd loml @KurlieSuzahn!,positive
CLAUDIA GRILLON,Goin big on the next,positive
Chelsea Natividad,There's just a lot of things to be grateful of. &lt;3,positive
Lindsey Berry,This ain't how I pictured good bye..,negative
BSK=BullShitKillers,It is far better to be alone  than to be in bad company. -George Washington,negative
[Kwa-Nah] Belle,Tahlia said balloons &amp; confetti is going to fall outta the sky at Midnight !!!! I love ha lil ass !!!!,positive
Dafne Ayala,I hate crying,negative
Chelsea Natividad,There's just a lot of things to be grateful of. &lt;3,positive
Lindsey Berry,This ain't how I pictured good bye..,negative
Tyler hansing,Going 5-9 in school ball and not caring because summer ball starts next week #whocares,negative
Erin Tracy,Sometimes the person you least expected  becomes the one person you need the most.,positive
Fwok Kai Shi,Why must the interview be so early? Why not 3pm? -.-,negative
Dr.Archelaos,Fuck I'm ready to go,negative
iGuess_kmsl,Now this a 20 point lead . They got it,positive
Lexy M. Walker,If i can have YOU dat a really blow my mind o_O,positive
Steph Shimon,Reality is an illustion that occurs due to the lack of alcohol.,negative
Instagram: _toobutta,thats why i really dont fuck with her all like that,negative
Terry Chambers,If its one thing I should be known for especially doing business is being on time and most times well before.,positive
Davin Boggess,Holy cow. There are about 46.7 million gay people in the u.s.,positive
Shelby Grace Mays,Catching up with old friends &gt;&gt;&gt;,positive
Sam Meisenhelder,The Borrowers ruled  but im excited to buy The Secret World of Arietty! Yeeahhhh,positive
FUCK SHIT-TTG-,Approach the game with no preset agendas and you'll probably come away surprised at your overall efforts,positive
laurie.,I'm all hype cause of the monster drink Ratana bought me. .-.,positive
Shaquilla Ferguson,@_PickUrPoison_: Her time of the month I guess respect that.,negative
Irving | MK3R$,It feels weird not having a tail now. The back of my head is cold lol,positive
India Carter,There is always somebody who doesn't like something #opinions ughh  that's the world,negative
meydid,Consider the lilies of the field  shut up  shut up.,negative
SuPaMcNasTy,who want a mention ? #rt,positive
FUCK SHIT-TTG-,Approach the game with no preset agendas and you'll probably come away surprised at your overall efforts,positive
laurie.,I'm all hype cause of the monster drink Ratana bought me. .-.,positive
Lexi_Flamingo,concert in two days #GetHype,positive
Lexi_Flamingo,concert in two days #GetHype,positive
Lexi_Flamingo,concert in two days #GetHype,positive
Lexi_Flamingo,concert in two days #GetHype,positive
Paige,Ooo the drunkken hiccups!,positive
Dianna c:,Hate doing things at the last minute.,negative
Shaya yaya,I've been thanking god all day today and praying like no other! I must say I'm at peace right now!,positive
